name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Goblin Welder,Goblin Welder,R,1.0,Creature — Goblin Artificer,Creature — Goblin Artificer,"{T}: Choose target artifact a player controls and target artifact card in that player's graveyard. If both targets are still legal as this ability resolves, that player simultaneously sacrifices the artifact and returns the artifact card to the battlefield.","{T}: Choose target artifact a player controls and target artifact card in that player's graveyard. If both targets are still legal as this ability resolves, that player simultaneously sacrifices the artifact and returns the artifact card to the battlefield.",1,1,,R
Magistrate's Scepter,Magistrate's Scepter,3,3.0,Artifact,Artifact,"{4}, {T}: Put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: Take an extra turn after this one.","{4}, {T}: Put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: Take an extra turn after this one.",,,,N
Planar Overlay,Planar Overlay,2U,3.0,Sorcery,Sorcery,Each player chooses a land they control of each basic land type. Return those lands to their owners' hands.,Each player chooses a land they control of each basic land type. Return those lands to their owners' hands.,,,,U
Volcano Imp,Volcano Imp,3B,4.0,Creature — Imp,Creature — Imp,"Flying
{1}{R}: This creature gains first strike until end of turn.","Flying
{1}{R}: This creature gains first strike until end of turn.",2,2,,B
Tainted Wood,Tainted Wood,,0.0,Land,Land,"{T}: Add {C}.
{T}: Add {B} or {G}. Activate only if you control a Swamp.","{T}: Add {C}.
{T}: Add {B} or {G}. Activate only if you control a Swamp.",,,,L
Fierce Empath,Fierce Empath,2G,3.0,Creature — Elf,Creature — Elf,"When this creature enters, you may search your library for a creature card with mana value 6 or greater, reveal it, put it into your hand, then shuffle.","When this creature enters, you may search your library for a creature card with mana value 6 or greater, reveal it, put it into your hand, then shuffle.",1,1,,G
Vengeful Dreams,Vengeful Dreams,WW,2.0,Instant,Instant,"As an additional cost to cast this spell, discard X cards.
Exile X target attacking creatures.","As an additional cost to cast this spell, discard X cards.
Exile X target attacking creatures.",,,,W
Silver Drake,Silver Drake,1WU,3.0,Creature — Drake,Creature — Drake,"Flying
When this creature enters, return a white or blue creature you control to its owner's hand.","Flying
When this creature enters, return a white or blue creature you control to its owner's hand.",3,3,,Z
Alabaster Leech,Alabaster Leech,W,1.0,Creature — Leech,Creature — Leech,White spells you cast cost {W} more to cast.,White spells you cast cost {W} more to cast.,1,3,,W
Foul Presence,Foul Presence,2B,3.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets -1/-1 and has ""{T}: Target creature gets -1/-1 until end of turn.""","Enchant creature
Enchanted creature gets -1/-1 and has ""{T}: Target creature gets -1/-1 until end of turn.""",,,,B
Magma Burst,Magma Burst,3R,4.0,Instant,Instant,"Kicker—Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)
Magma Burst deals 3 damage to any target. If this spell was kicked, it deals 3 damage to another target.","Kicker—Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)
Magma Burst deals 3 damage to any target. If this spell was kicked, it deals 3 damage to another target.",,,,R
Living Hive,Living Hive,6GG,8.0,Creature — Elemental Insect,Creature — Elemental Insect,"Trample
Whenever this creature deals combat damage to a player, create that many 1/1 green Insect creature tokens.","Trample
Whenever this creature deals combat damage to a player, create that many 1/1 green Insect creature tokens.",6,6,,G
Steel Wall,Steel Wall,1,1.0,Artifact Creature — Wall,Artifact Creature — Wall,Defender (This creature can't attack.),Defender (This creature can't attack.),0,4,,N
Shared Triumph,Shared Triumph,1W,2.0,Enchantment,Enchantment,"As this enchantment enters, choose a creature type.
Creatures of the chosen type get +1/+1.","As this enchantment enters, choose a creature type.
Creatures of the chosen type get +1/+1.",,,,W
Wizard Mentor,Wizard Mentor,2U,3.0,Creature — Human Wizard,Creature — Human Wizard,{T}: Return this creature and target creature you control to their owner's hand.,{T}: Return this creature and target creature you control to their owner's hand.,2,2,,U
Chameleon Spirit,Chameleon Spirit,3U,4.0,Creature — Illusion Spirit,Creature — Illusion Spirit,"As this creature enters, choose a color.
Chameleon Spirit's power and toughness are each equal to the number of permanents of the chosen color your opponents control.","As this creature enters, choose a color.
Chameleon Spirit's power and toughness are each equal to the number of permanents of the chosen color your opponents control.",*,*,,U
Fog Patch,Fog Patch,1G,2.0,Instant,Instant,"Cast this spell only during the declare blockers step.
Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)","Cast this spell only during the declare blockers step.
Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)",,,,G
Peer Pressure,Peer Pressure,3U,4.0,Sorcery,Sorcery,"Choose a creature type. If you control more creatures of that type than each other player, you gain control of all creatures of that type. (This effect lasts indefinitely.)","Choose a creature type. If you control more creatures of that type than each other player, you gain control of all creatures of that type. (This effect lasts indefinitely.)",,,,U
Manabond,Manabond,G,1.0,Enchantment,Enchantment,"At the beginning of your end step, you may reveal your hand and put all land cards from it onto the battlefield. If you do, discard your hand.","At the beginning of your end step, you may reveal your hand and put all land cards from it onto the battlefield. If you do, discard your hand.",,,,G
Coral Net,Coral Net,U,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant green or white creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice this creature unless you discard a card.""","Enchant green or white creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice this creature unless you discard a card.""",,,,U
Cave-In,Cave-In,3RR,5.0,Sorcery,Sorcery,"You may exile a red card from your hand rather than pay this spell's mana cost.
Cave-In deals 2 damage to each creature and each player.","You may exile a red card from your hand rather than pay this spell's mana cost.
Cave-In deals 2 damage to each creature and each player.",,,,R
Proteus Staff,Proteus Staff,3,3.0,Artifact,Artifact,"{2}{U}, {T}: Put target creature on the bottom of its owner's library. That creature's controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield and the rest on the bottom of their library in any order. Activate only as a sorcery.","{2}{U}, {T}: Put target creature on the bottom of its owner's library. That creature's controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield and the rest on the bottom of their library in any order. Activate only as a sorcery.",,,,N
Coalition Victory,Coalition Victory,3WUBRG,8.0,Sorcery,Sorcery,You win the game if you control a land of each basic land type and a creature of each color.,You win the game if you control a land of each basic land type and a creature of each color.,,,,Z
Misshapen Fiend,Misshapen Fiend,1B,2.0,Creature — Horror Mercenary,Creature — Horror Mercenary,Flying,Flying,1,1,,B
Skyshroud Elf,Skyshroud Elf,1G,2.0,Creature — Elf Druid,Creature — Elf Druid,"{T}: Add {G}.
{1}: Add {R} or {W}.","{T}: Add {G}.
{1}: Add {R} or {W}.",1,1,,G
Urza's Blueprints,Urza's Blueprints,6,6.0,Artifact,Artifact,"Echo {6} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
{T}: Draw a card.","Echo {6} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
{T}: Draw a card.",,,,N
Delraich,Delraich,6B,7.0,Creature — Horror,Creature — Horror,"You may sacrifice three black creatures rather than pay this spell's mana cost.
Trample","You may sacrifice three black creatures rather than pay this spell's mana cost.
Trample",6,6,,B
Wall of Tears,Wall of Tears,1U,2.0,Creature — Wall,Creature — Wall,"Defender (This creature can't attack.)
Whenever this creature blocks a creature, return that creature to its owner's hand at end of combat.","Defender (This creature can't attack.)
Whenever this creature blocks a creature, return that creature to its owner's hand at end of combat.",0,4,,U
Upheaval,Upheaval,4UU,6.0,Sorcery,Sorcery,Return all permanents to their owners' hands.,Return all permanents to their owners' hands.,,,,U
Clear,Clear,1W,2.0,Instant,Instant,"Destroy target enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)","Destroy target enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,W
Betrayal,Betrayal,U,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature an opponent controls
Whenever enchanted creature becomes tapped, you draw a card.","Enchant creature an opponent controls
Whenever enchanted creature becomes tapped, you draw a card.",,,,U
Scoria Cat,Scoria Cat,3RR,5.0,Creature — Cat,Creature — Cat,This creature gets +3/+3 as long as you control no untapped lands.,This creature gets +3/+3 as long as you control no untapped lands.,3,3,,R
Skycloud Expanse,Skycloud Expanse,,0.0,Land,Land,"{1}, {T}: Add {W}{U}.","{1}, {T}: Add {W}{U}.",,,,L
Cinder Crawler,Cinder Crawler,1R,2.0,Creature — Salamander,Creature — Salamander,{R}: This creature gets +1/+0 until end of turn. Activate only if this creature is blocked.,{R}: This creature gets +1/+0 until end of turn. Activate only if this creature is blocked.,1,2,,R
Rhystic Shield,Rhystic Shield,1W,2.0,Instant,Instant,Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.,Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.,,,,W
Shivan Zombie,Shivan Zombie,BR,2.0,Creature — Phyrexian Barbarian Zombie,Creature — Phyrexian Barbarian Zombie,Protection from white,Protection from white,2,2,,Z
Wave of Indifference,Wave of Indifference,XR,1.0,Sorcery,Sorcery,X target creatures can't block this turn.,X target creatures can't block this turn.,,,,R
Nameless One,Nameless One,3U,4.0,Creature — Wizard Avatar,Creature — Wizard Avatar,"Nameless One's power and toughness are each equal to the number of Wizards on the battlefield.
Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Nameless One's power and toughness are each equal to the number of Wizards on the battlefield.
Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",*,*,,U
Eye of Singularity,Eye of Singularity,3W,4.0,World Enchantment,World Enchantment,"When this enchantment enters, destroy each permanent with the same name as another permanent, except for basic lands. They can't be regenerated.
Whenever a permanent other than a basic land enters, destroy all other permanents with that name. They can't be regenerated.","When this enchantment enters, destroy each permanent with the same name as another permanent, except for basic lands. They can't be regenerated.
Whenever a permanent other than a basic land enters, destroy all other permanents with that name. They can't be regenerated.",,,,W
Polymorph,Polymorph,3U,4.0,Sorcery,Sorcery,"Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.","Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.",,,,U
Sootfeather Flock,Sootfeather Flock,4B,5.0,Creature — Bird,Creature — Bird,"Flying
Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Flying
Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",3,2,,B
Gush,Gush,4U,5.0,Instant,Instant,"You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.
Draw two cards.","You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.
Draw two cards.",,,,U
Hermit Druid,Hermit Druid,1G,2.0,Creature — Human Druid,Creature — Human Druid,"{G}, {T}: Reveal cards from the top of your library until you reveal a basic land card. Put that card into your hand and all other cards revealed this way into your graveyard.","{G}, {T}: Reveal cards from the top of your library until you reveal a basic land card. Put that card into your hand and all other cards revealed this way into your graveyard.",1,1,,G
Alley Grifters,Alley Grifters,1BB,3.0,Creature — Human Mercenary,Creature — Human Mercenary,"Whenever this creature becomes blocked, defending player discards a card.","Whenever this creature becomes blocked, defending player discards a card.",2,2,,B
Red Cliffs Armada,Red Cliffs Armada,4U,5.0,Creature — Human Soldier,Creature — Human Soldier,This creature can't attack unless defending player controls an Island.,This creature can't attack unless defending player controls an Island.,5,4,,U
Lava Flow,Lava Flow,3RR,5.0,Sorcery,Sorcery,Destroy target creature or land.,Destroy target creature or land.,,,,R
Gaea's Embrace,Gaea's Embrace,2GG,4.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets +3/+3 and has trample.
{G}: Regenerate enchanted creature.","Enchant creature
Enchanted creature gets +3/+3 and has trample.
{G}: Regenerate enchanted creature.",,,,G
Rune of Protection: White,Rune of Protection: White,1W,2.0,Enchantment,Enchantment,"{W}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)","{W}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,W
Whispers of the Muse,Whispers of the Muse,U,1.0,Instant,Instant,"Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)
Draw a card.","Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)
Draw a card.",,,,U
Utopia Tree,Utopia Tree,1G,2.0,Creature — Plant,Creature — Plant,{T}: Add one mana of any color.,{T}: Add one mana of any color.,0,2,,G
Shimmering Mirage,Shimmering Mirage,1U,2.0,Instant,Instant,"Target land becomes the basic land type of your choice until end of turn.
Draw a card.","Target land becomes the basic land type of your choice until end of turn.
Draw a card.",,,,U
Quirion Sentinel,Quirion Sentinel,1G,2.0,Creature — Elf Druid,Creature — Elf Druid,"When this creature enters, add one mana of any color.","When this creature enters, add one mana of any color.",2,1,,G
Haunting Echoes,Haunting Echoes,3BB,5.0,Sorcery,Sorcery,"Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles.","Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles.",,,,B
Planar Guide,Planar Guide,W,1.0,Creature — Human Cleric,Creature — Human Cleric,"{3}{W}, Exile this creature: Exile all creatures. At the beginning of the next end step, return those cards to the battlefield under their owners' control.","{3}{W}, Exile this creature: Exile all creatures. At the beginning of the next end step, return those cards to the battlefield under their owners' control.",1,1,,W
Deepwood Legate,Deepwood Legate,3B,4.0,Creature — Shade,Creature — Shade,"If an opponent controls a Forest and you control a Swamp, you may cast this spell without paying its mana cost.
{B}: This creature gets +1/+1 until end of turn.","If an opponent controls a Forest and you control a Swamp, you may cast this spell without paying its mana cost.
{B}: This creature gets +1/+1 until end of turn.",1,1,,B
False Memories,False Memories,1U,2.0,Instant,Instant,"Mill seven cards. At the beginning of the next end step, exile seven cards from your graveyard.","Mill seven cards. At the beginning of the next end step, exile seven cards from your graveyard.",,,,U
Echo Chamber,Echo Chamber,4,4.0,Artifact,Artifact,"{4}, {T}: An opponent chooses target creature they control. Create a token that's a copy of that creature. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate only as a sorcery.","{4}, {T}: An opponent chooses target creature they control. Create a token that's a copy of that creature. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate only as a sorcery.",,,,N
Copper Gnomes,Copper Gnomes,2,2.0,Artifact Creature — Gnome,Artifact Creature — Gnome,"{4}, Sacrifice this creature: You may put an artifact card from your hand onto the battlefield.","{4}, Sacrifice this creature: You may put an artifact card from your hand onto the battlefield.",1,1,,N
Scoria Wurm,Scoria Wurm,4R,5.0,Creature — Wurm,Creature — Wurm,"At the beginning of your upkeep, flip a coin. If you lose the flip, return this creature to its owner's hand.","At the beginning of your upkeep, flip a coin. If you lose the flip, return this creature to its owner's hand.",7,7,,R
Phyrexian Negator,Phyrexian Negator,2B,3.0,Creature — Phyrexian Horror,Creature — Phyrexian Horror,"Trample
Whenever this creature is dealt damage, sacrifice that many permanents.","Trample
Whenever this creature is dealt damage, sacrifice that many permanents.",5,5,,B
Kurgadon,Kurgadon,4G,5.0,Creature — Beast,Creature — Beast,"Whenever you cast a creature spell with mana value 6 or greater, put three +1/+1 counters on this creature.","Whenever you cast a creature spell with mana value 6 or greater, put three +1/+1 counters on this creature.",3,3,,G
Wormfang Crab,Wormfang Crab,3U,4.0,Creature — Nightmare Crab,Creature — Nightmare Crab,"This creature can't be blocked.
When this creature enters, an opponent chooses a permanent you control other than this creature and exiles it.
When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.","This creature can't be blocked.
When this creature enters, an opponent chooses a permanent you control other than this creature and exiles it.
When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.",3,6,,U
Doomsday Specter,Doomsday Specter,2UB,4.0,Creature — Specter,Creature — Specter,"Flying
When this creature enters, return a blue or black creature you control to its owner's hand.
Whenever this creature deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.","Flying
When this creature enters, return a blue or black creature you control to its owner's hand.
Whenever this creature deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.",2,3,,Z
Gerrard's Verdict,Gerrard's Verdict,WB,2.0,Sorcery,Sorcery,Target player discards two cards. You gain 3 life for each land card discarded this way.,Target player discards two cards. You gain 3 life for each land card discarded this way.,,,,Z
Apprentice Necromancer,Apprentice Necromancer,1B,2.0,Creature — Zombie Wizard,Creature — Zombie Wizard,"{B}, {T}, Sacrifice this creature: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.","{B}, {T}, Sacrifice this creature: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.",1,1,,B
Oath of Ghouls,Oath of Ghouls,1B,2.0,Enchantment,Enchantment,"At the beginning of each player's upkeep, that player chooses target player whose graveyard has fewer creature cards in it than their graveyard does and is their opponent. The first player may return a creature card from their graveyard to their hand.","At the beginning of each player's upkeep, that player chooses target player whose graveyard has fewer creature cards in it than their graveyard does and is their opponent. The first player may return a creature card from their graveyard to their hand.",,,,B
Cagemail,Cagemail,1W,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets +2/+2 and can't attack.","Enchant creature
Enchanted creature gets +2/+2 and can't attack.",,,,W
Goblin Lookout,Goblin Lookout,1R,2.0,Creature — Goblin,Creature — Goblin,"{T}, Sacrifice a Goblin: Goblin creatures get +2/+0 until end of turn.","{T}, Sacrifice a Goblin: Goblin creatures get +2/+0 until end of turn.",1,2,,R
Tsabo's Web,Tsabo's Web,2,2.0,Artifact,Artifact,"When this artifact enters, draw a card.
Each land with an activated ability that isn't a mana ability doesn't untap during its controller's untap step.","When this artifact enters, draw a card.
Each land with an activated ability that isn't a mana ability doesn't untap during its controller's untap step.",,,,N
Tormented Angel,Tormented Angel,3W,4.0,Creature — Angel,Creature — Angel,Flying,Flying,1,5,,W
Debt of Loyalty,Debt of Loyalty,1WW,3.0,Instant,Instant,Regenerate target creature. You gain control of that creature if it regenerates this way.,Regenerate target creature. You gain control of that creature if it regenerates this way.,,,,W
Flaring Pain,Flaring Pain,1R,2.0,Instant,Instant,"Damage can't be prevented this turn.
Flashback {R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","Damage can't be prevented this turn.
Flashback {R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,R
Power Taint,Power Taint,1U,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, that player loses 2 life unless they pay {2}.
Cycling {2} ({2}, Discard this card: Draw a card.)","Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, that player loses 2 life unless they pay {2}.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,U
Vintara Snapper,Vintara Snapper,GG,2.0,Creature — Turtle,Creature — Turtle,This creature has shroud as long as you control no untapped lands. (It can't be the target of spells or abilities.),This creature has shroud as long as you control no untapped lands. (It can't be the target of spells or abilities.),2,2,,G
Ebonblade Reaper,Ebonblade Reaper,2B,3.0,Creature — Human Cleric,Creature — Human Cleric,"Whenever this creature attacks, you lose half your life, rounded up.
Whenever this creature deals combat damage to a player, that player loses half their life, rounded up.
Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Whenever this creature attacks, you lose half your life, rounded up.
Whenever this creature deals combat damage to a player, that player loses half their life, rounded up.
Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,,B
Tower of Fortunes,Tower of Fortunes,4,4.0,Artifact,Artifact,"{8}, {T}: Draw four cards.","{8}, {T}: Draw four cards.",,,,N
Master of Arms,Master of Arms,2W,3.0,Creature — Human Soldier,Creature — Human Soldier,"First strike
{1}{W}: Tap target creature blocking this creature.","First strike
{1}{W}: Tap target creature blocking this creature.",2,2,,W
Return to Battle,Return to Battle,B,1.0,Sorcery,Sorcery,Return target creature card from your graveyard to your hand.,Return target creature card from your graveyard to your hand.,,,,B
Krosan Beast,Krosan Beast,3G,4.0,Creature — Squirrel Beast,Creature — Squirrel Beast,Threshold — This creature gets +7/+7 as long as seven or more cards are in your graveyard.,Threshold — This creature gets +7/+7 as long as seven or more cards are in your graveyard.,1,1,,G
Vision Charm,Vision Charm,U,1.0,Instant,Instant,"Choose one —
• Target player mills four cards.
• Choose a land type and a basic land type. Each land of the first chosen type becomes the second chosen type until end of turn.
• Target artifact phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before its controller untaps during their next untap step.)","Choose one —
• Target player mills four cards.
• Choose a land type and a basic land type. Each land of the first chosen type becomes the second chosen type until end of turn.
• Target artifact phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before its controller untaps during their next untap step.)",,,,U
Riptide Entrancer,Riptide Entrancer,1UU,3.0,Creature — Human Wizard,Creature — Human Wizard,"Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, gain control of target creature that player controls. (This effect lasts indefinitely.)
Morph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, gain control of target creature that player controls. (This effect lasts indefinitely.)
Morph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,,U
Quirion Druid,Quirion Druid,2G,3.0,Creature — Elf Druid,Creature — Elf Druid,"{G}, {T}: Target land becomes a 2/2 green creature that's still a land. (This effect lasts indefinitely.)","{G}, {T}: Target land becomes a 2/2 green creature that's still a land. (This effect lasts indefinitely.)",1,2,,G
Crackdown,Crackdown,2W,3.0,Enchantment,Enchantment,Nonwhite creatures with power 3 or greater don't untap during their controllers' untap steps.,Nonwhite creatures with power 3 or greater don't untap during their controllers' untap steps.,,,,W
Shoreline Ranger,Shoreline Ranger,5U,6.0,Creature — Bird Soldier Ranger,Creature — Bird Soldier Ranger,"Flying
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)","Flying
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",3,4,,U
Tsabo's Assassin,Tsabo's Assassin,2BB,4.0,Creature — Phyrexian Zombie Assassin,Creature — Phyrexian Zombie Assassin,{T}: Destroy target creature if it shares a color with the most common color among all permanents or a color tied for most common. A creature destroyed this way can't be regenerated.,{T}: Destroy target creature if it shares a color with the most common color among all permanents or a color tied for most common. A creature destroyed this way can't be regenerated.,1,1,,B
Haunted Crossroads,Haunted Crossroads,2B,3.0,Enchantment,Enchantment,{B}: Put target creature card from your graveyard on top of your library.,{B}: Put target creature card from your graveyard on top of your library.,,,,B
Psychic Theft,Psychic Theft,1U,2.0,Sorcery,Sorcery,"Target player reveals their hand. You choose an instant or sorcery card from it and exile that card. You may cast that card for as long as it remains exiled. At the beginning of the next end step, if you haven't cast the card, return it to its owner's hand.","Target player reveals their hand. You choose an instant or sorcery card from it and exile that card. You may cast that card for as long as it remains exiled. At the beginning of the next end step, if you haven't cast the card, return it to its owner's hand.",,,,U
