eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Utopia Tree,,,1G,2.0,G,Creature — Plant,,0/2,0,2,,{T}: Add one mana of any color.,,,,
Shimmering Mirage,,,1U,2.0,U,Instant,,,,,,"Target land becomes the basic land type of your choice until end of turn.
Draw a card.",,,,
Quirion Sentinel,,,1G,2.0,G,Creature — Elf Druid,,2/1,2,1,,"When this creature enters, add one mana of any color.",,,,
Haunting Echoes,,,3BB,5.0,B,Sorcery,,,,,,"Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles.",,,,
Planar Guide,,,W,1.0,W,Creature — Human Cleric,,1/1,1,1,,"{3}{W}, Exile this creature: Exile all creatures. At the beginning of the next end step, return those cards to the battlefield under their owners' control.",,,,
Deepwood Legate,,,3B,4.0,B,Creature — Shade,,1/1,1,1,,"If an opponent controls a Forest and you control a Swamp, you may cast this spell without paying its mana cost.
{B}: This creature gets +1/+1 until end of turn.",,,,
False Memories,,,1U,2.0,U,Instant,,,,,,"Mill seven cards. At the beginning of the next end step, exile seven cards from your graveyard.",,,,
Echo Chamber,,,4,4.0,N,Artifact,,,,,,"{4}, {T}: An opponent chooses target creature they control. Create a token that's a copy of that creature. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate only as a sorcery.",,,,
Copper Gnomes,,,2,2.0,N,Artifact Creature — Gnome,,1/1,1,1,,"{4}, Sacrifice this creature: You may put an artifact card from your hand onto the battlefield.",,,,
Scoria Wurm,,,4R,5.0,R,Creature — Wurm,,7/7,7,7,,"At the beginning of your upkeep, flip a coin. If you lose the flip, return this creature to its owner's hand.",,,,
Phyrexian Negator,,,2B,3.0,B,Creature — Phyrexian Horror,,5/5,5,5,,"Trample
Whenever this creature is dealt damage, sacrifice that many permanents.",,,,
Kurgadon,,,4G,5.0,G,Creature — Beast,,3/3,3,3,,"Whenever you cast a creature spell with mana value 6 or greater, put three +1/+1 counters on this creature.",,,,
Wormfang Crab,,,3U,4.0,U,Creature — Nightmare Crab,,3/6,3,6,,"This creature can't be blocked.
When this creature enters, an opponent chooses a permanent you control other than this creature and exiles it.
When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,,
Doomsday Specter,,,2UB,4.0,Z,Creature — Specter,,2/3,2,3,,"Flying
When this creature enters, return a blue or black creature you control to its owner's hand.
Whenever this creature deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.",,,,
Gerrard's Verdict,,,WB,2.0,Z,Sorcery,,,,,,Target player discards two cards. You gain 3 life for each land card discarded this way.,,,,
Apprentice Necromancer,,,1B,2.0,B,Creature — Zombie Wizard,,1/1,1,1,,"{B}, {T}, Sacrifice this creature: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.",,,,
Oath of Ghouls,,,1B,2.0,B,Enchantment,,,,,,"At the beginning of each player's upkeep, that player chooses target player whose graveyard has fewer creature cards in it than their graveyard does and is their opponent. The first player may return a creature card from their graveyard to their hand.",,,,
Cagemail,,,1W,2.0,W,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +2/+2 and can't attack.",,,,
Goblin Lookout,,,1R,2.0,R,Creature — Goblin,,1/2,1,2,,"{T}, Sacrifice a Goblin: Goblin creatures get +2/+0 until end of turn.",,,,
Tsabo's Web,,,2,2.0,N,Artifact,,,,,,"When this artifact enters, draw a card.
Each land with an activated ability that isn't a mana ability doesn't untap during its controller's untap step.",,,,
Tormented Angel,,,3W,4.0,W,Creature — Angel,,1/5,1,5,,Flying,,,,
Debt of Loyalty,,,1WW,3.0,W,Instant,,,,,,Regenerate target creature. You gain control of that creature if it regenerates this way.,,,,
Flaring Pain,,,1R,2.0,R,Instant,,,,,,"Damage can't be prevented this turn.
Flashback {R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Power Taint,,,1U,2.0,U,Enchantment — Aura,,,,,,"Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, that player loses 2 life unless they pay {2}.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Vintara Snapper,,,GG,2.0,G,Creature — Turtle,,2/2,2,2,,This creature has shroud as long as you control no untapped lands. (It can't be the target of spells or abilities.),,,,
Ebonblade Reaper,,,2B,3.0,B,Creature — Human Cleric,,1/1,1,1,,"Whenever this creature attacks, you lose half your life, rounded up.
Whenever this creature deals combat damage to a player, that player loses half their life, rounded up.
Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Tower of Fortunes,,,4,4.0,N,Artifact,,,,,,"{8}, {T}: Draw four cards.",,,,
Master of Arms,,,2W,3.0,W,Creature — Human Soldier,,2/2,2,2,,"First strike
{1}{W}: Tap target creature blocking this creature.",,,,
Return to Battle,,,B,1.0,B,Sorcery,,,,,,Return target creature card from your graveyard to your hand.,,,,
Krosan Beast,,,3G,4.0,G,Creature — Squirrel Beast,,1/1,1,1,,Threshold — This creature gets +7/+7 as long as seven or more cards are in your graveyard.,,,,
Vision Charm,,,U,1.0,U,Instant,,,,,,"Choose one —
• Target player mills four cards.
• Choose a land type and a basic land type. Each land of the first chosen type becomes the second chosen type until end of turn.
• Target artifact phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before its controller untaps during their next untap step.)",,,,
Riptide Entrancer,,,1UU,3.0,U,Creature — Human Wizard,,1/1,1,1,,"Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, gain control of target creature that player controls. (This effect lasts indefinitely.)
Morph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Quirion Druid,,,2G,3.0,G,Creature — Elf Druid,,1/2,1,2,,"{G}, {T}: Target land becomes a 2/2 green creature that's still a land. (This effect lasts indefinitely.)",,,,
Crackdown,,,2W,3.0,W,Enchantment,,,,,,Nonwhite creatures with power 3 or greater don't untap during their controllers' untap steps.,,,,
Shoreline Ranger,,,5U,6.0,U,Creature — Bird Soldier Ranger,,3/4,3,4,,"Flying
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",,,,
Tsabo's Assassin,,,2BB,4.0,B,Creature — Phyrexian Zombie Assassin,,1/1,1,1,,{T}: Destroy target creature if it shares a color with the most common color among all permanents or a color tied for most common. A creature destroyed this way can't be regenerated.,,,,
Haunted Crossroads,,,2B,3.0,B,Enchantment,,,,,,{B}: Put target creature card from your graveyard on top of your library.,,,,
Psychic Theft,,,1U,2.0,U,Sorcery,,,,,,"Target player reveals their hand. You choose an instant or sorcery card from it and exile that card. You may cast that card for as long as it remains exiled. At the beginning of the next end step, if you haven't cast the card, return it to its owner's hand.",,,,
Cabal Torturer,,,1BB,3.0,B,Creature — Human Minion,,1/1,1,1,,"{B}, {T}: Target creature gets -1/-1 until end of turn.
Threshold — {3}{B}{B}, {T}: Target creature gets -2/-2 until end of turn. Activate only if seven or more cards are in your graveyard.",,,,
Seal of Cleansing,,,1W,2.0,W,Enchantment,,,,,,Sacrifice this enchantment: Destroy target artifact or enchantment.,,,,
Phyrexian Gargantua,,,4BB,6.0,B,Creature — Phyrexian Horror,,4/4,4,4,,"When this creature enters, you draw two cards and you lose 2 life.",,,,
Ruination,,,3R,4.0,R,Sorcery,,,,,,Destroy all nonbasic lands.,,,,
Centaur Garden,,,,0.0,L,Land,,,,,,"{T}: Add {G}. This land deals 1 damage to you.
Threshold — {G}, {T}, Sacrifice this land: Target creature gets +3/+3 until end of turn. Activate only if seven or more cards are in your graveyard.",,,,
Mage il-Vec,,,2R,3.0,R,Creature — Human Wizard,,2/2,2,2,,"{T}, Discard a card at random: This creature deals 1 damage to any target.",,,,
Tel-Jilad Archers,,,4G,5.0,G,Creature — Elf Archer,,2/4,2,4,,Protection from artifacts; reach (This creature can block creatures with flying.),,,,
Shaleskin Plower,,,3R,4.0,R,Creature — Beast,,3/2,3,2,,"Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, destroy target land.",,,,
Lowland Tracker,,,4W,5.0,W,Creature — Human Soldier,,2/2,2,2,,"First strike
Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)",,,,
Sleeper's Guile,,,2B,3.0,B,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,
Second Thoughts,,,4W,5.0,W,Instant,,,,,,"Exile target attacking creature.
Draw a card.",,,,
Flaming Sword,,,1R,2.0,R,Enchantment — Aura,,,,,,"Flash
Enchant creature
Enchanted creature gets +1/+0 and has first strike.",,,,
Thran Turbine,,,1,1.0,N,Artifact,,,,,,"At the beginning of your upkeep, you may add {C}{C}. You can't spend this mana to cast spells.",,,,
Backfire,,,U,1.0,U,Enchantment — Aura,,,,,,"Enchant creature
Whenever enchanted creature deals damage to you, this Aura deals that much damage to that creature's controller.",,,,
Scapegoat,,,W,1.0,W,Instant,,,,,,"As an additional cost to cast this spell, sacrifice a creature.
Return any number of target creatures you control to their owner's hand.",,,,
Brassclaw Orcs,,,2R,3.0,R,Creature — Orc,,3/2,3,2,,This creature can't block creatures with power 2 or greater.,,,,
Relic Bind,,,2U,3.0,U,Enchantment — Aura,,,,,,"Enchant artifact an opponent controls
Whenever enchanted artifact becomes tapped, choose one —
• This Aura deals 1 damage to target player or planeswalker.
• Target player gains 1 life.",,,,
Dauthi Warlord,,,1B,2.0,B,Creature — Dauthi Soldier,,*/1,*,1,,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Dauthi Warlord's power is equal to the number of creatures on the battlefield with shadow.",,,,
Shepherd of Rot,,,1B,2.0,B,Creature — Zombie Cleric,,1/1,1,1,,{T}: Each player loses 1 life for each Zombie on the battlefield.,,,,
Time Warp,,,3UU,5.0,U,Sorcery,,,,,,Target player takes an extra turn after this one.,,,,
Basking Rootwalla,,,G,1.0,G,Creature — Lizard,,1/1,1,1,,"{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",,,,
Equipoise,,,2W,3.0,W,Enchantment,,,,,,"At the beginning of your upkeep, for each land target player controls in excess of the number you control, choose a land that player controls, then the chosen permanents phase out. Repeat this process for artifacts and creatures. (While they're phased out, they're treated as though they don't exist. They phase in before that player untaps during their next untap step.)",,,,
Dralnu's Pet,,,1UU,3.0,U,Creature — Shapeshifter,,2/2,2,2,,"Kicker—{2}{B}, Discard a creature card. (You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)
If this creature was kicked, it enters with flying and with X +1/+1 counters on it, where X is the discarded card's mana value.",,,,
Myr Incubator,,,6,6.0,N,Artifact,,,,,,"{6}, {T}, Sacrifice this artifact: Search your library for any number of artifact cards, exile them, then create that many 1/1 colorless Myr artifact creature tokens. Then shuffle.",,,,
Clear the Land,,,2G,3.0,G,Sorcery,,,,,,"Each player reveals the top five cards of their library, puts all land cards revealed this way onto the battlefield tapped, and exiles the rest.",,,,
Wood Sage,,,GU,2.0,Z,Creature — Human Druid,,1/1,1,1,,{T}: Choose a creature card name. Reveal the top four cards of your library and put all of them with that name into your hand. Put the rest into your graveyard.,,,,
Rune of Protection: Lands,,,1W,2.0,W,Enchantment,,,,,,"{W}: The next time a land source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Metathran Elite,,,1UU,3.0,U,Creature — Metathran Soldier,,2/3,2,3,,This creature can't be blocked as long as it's enchanted.,,,,
Canopy Claws,,,G,1.0,G,Instant,,,,,,"Target creature loses flying until end of turn.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Burning Cloak,,,R,1.0,R,Sorcery,,,,,,Target creature gets +2/+0 until end of turn. Burning Cloak deals 2 damage to that creature.,,,,
Rhystic Study,,,2U,3.0,U,Enchantment,,,,,,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.",,,,
Saprazzan Breaker,,,4U,5.0,U,Creature — Beast,,3/3,3,3,,"{U}: Mill a card. If a land card was milled this way, this creature can't be blocked this turn.",,,,
Plated Rootwalla,,,4G,5.0,G,Creature — Lizard,,3/3,3,3,,{2}{G}: This creature gets +3/+3 until end of turn. Activate only once each turn.,,,,
Hazy Homunculus,,,1U,2.0,U,Creature — Homunculus Illusion,,1/1,1,1,,This creature can't be blocked as long as defending player controls an untapped land.,,,,
Mutilate,,,2BB,4.0,B,Sorcery,,,,,,All creatures get -1/-1 until end of turn for each Swamp you control.,,,,
Spike Breeder,,,3G,4.0,G,Creature — Spike,,0/0,0,0,,"This creature enters with three +1/+1 counters on it.
{2}, Remove a +1/+1 counter from this creature: Put a +1/+1 counter on target creature.
{2}, Remove a +1/+1 counter from this creature: Create a 1/1 green Spike creature token.",,,,
Ley Line,,,3G,4.0,G,Enchantment,,,,,,"At the beginning of each player's upkeep, that player may put a +1/+1 counter on target creature of their choice.",,,,
Pangosaur,,,2GG,4.0,G,Creature — Dinosaur,,6/6,6,6,,"Whenever a player plays a land, return this creature to its owner's hand.",,,,
Mogg Fanatic,,,R,1.0,R,Creature — Goblin,,1/1,1,1,,Sacrifice this creature: It deals 1 damage to any target.,,,,
Deepwood Tantiv,,,4G,5.0,G,Creature — Beast,,2/4,2,4,,"Whenever this creature becomes blocked, you gain 2 life.",,,,
Yavimaya Barbarian,,,RG,2.0,Z,Creature — Elf Barbarian,,2/2,2,2,,Protection from blue,,,,
Slinking Serpent,,,2UB,4.0,Z,Creature — Serpent,,2/3,2,3,,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),,,,
Saprazzan Cove,,,,0.0,L,Land,,,,,,"This land enters tapped.
{T}: Put a storage counter on this land.
{T}, Remove any number of storage counters from this land: Add {U} for each storage counter removed this way.",,,,
Cloud of Faeries,,,1U,2.0,U,Creature — Faerie,,1/1,1,1,,"Flying
When this creature enters, untap up to two lands.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Thunder of Hooves,,,3R,4.0,R,Sorcery,,,,,,"Thunder of Hooves deals X damage to each creature without flying and each player, where X is the number of Beasts on the battlefield.",,,,
Fanning the Flames,,,XRR,2.0,R,Sorcery,,,,,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Fanning the Flames deals X damage to any target.",,,,
Plant Elemental,,,1G,2.0,G,Creature — Plant Elemental,,3/4,3,4,,"When this creature enters, sacrifice it unless you sacrifice a Forest.",,,,
Stone Catapult,,,4B,5.0,B,Creature — Human Soldier,,1/2,1,2,,"{T}: Destroy target tapped nonblack creature. Activate only during your turn, before attackers are declared.",,,,
Nuisance Engine,,,3,3.0,N,Artifact,,,,,,"{2}, {T}: Create a 0/1 colorless Pest artifact creature token.",,,,
Polluted Delta,,,,0.0,L,Land,,,,,,"{T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.",,,,
Darkling Stalker,,,3B,4.0,B,Creature — Shade Spirit,,1/1,1,1,,"{B}: Regenerate this creature.
{B}: This creature gets +1/+1 until end of turn.",,,,
Venomous Breath,,,3G,4.0,G,Instant,,,,,,"Choose target creature. At this turn's next end of combat, destroy all creatures that blocked or were blocked by it this turn.",,,,
Goblin War Strike,,,R,1.0,R,Sorcery,,,,,,Goblin War Strike deals damage to target player or planeswalker equal to the number of Goblins you control.,,,,
Krosan Colossus,,,6GGG,9.0,G,Creature — Beast,,9/9,9,9,,Morph {6}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),,,,
Mask of Law and Grace,,,W,1.0,W,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature has protection from black and from red.",,,,
Windswept Heath,,,,0.0,L,Land,,,,,,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.",,,,
Amrou Kithkin,,,WW,2.0,W,Creature — Kithkin,,1/1,1,1,,This creature can't be blocked by creatures with power 3 or greater.,,,,
Darkwater Egg,,,1,1.0,N,Artifact,,,,,,"{2}, {T}, Sacrifice this artifact: Add {U}{B}. Draw a card.",,,,
"Lu Xun, Scholar General",,,2UU,4.0,U,Legendary Creature — Human Soldier,,1/3,1,3,,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Whenever Lu Xun deals damage to an opponent, you may draw a card.",,,,
Promise of Power,,,2BBB,5.0,B,Sorcery,,,,,,"Choose one —
• You draw five cards and you lose 5 life.
• Create an X/X black Demon creature token with flying, where X is the number of cards in your hand.
Entwine {4} (Choose both if you pay the entwine cost.)",,,,
Kavu Titan,,,1G,2.0,G,Creature — Kavu,,2/2,2,2,,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with three +1/+1 counters on it and with trample.",,,,
Hand to Hand,,,2R,3.0,R,Enchantment,,,,,,"During combat, players can't cast instant spells or activate abilities that aren't mana abilities.",,,,
"Yuan Shao, the Indecisive",,,4R,5.0,R,Legendary Creature — Human Soldier,,2/3,2,3,,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Each creature you control can't be blocked by more than one creature.",,,,
